,id,timestamp,increment,hour,date,week,week_start,month,month_name,month_start,quarter,year,period
95641,95642,2023-07-01 09:15:00,15,9,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95642,95643,2023-07-01 09:30:00,30,9,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95643,95644,2023-07-01 09:45:00,45,9,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95644,95645,2023-07-01 10:00:00,0,10,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95645,95646,2023-07-01 10:15:00,15,10,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95646,95647,2023-07-01 10:30:00,30,10,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95647,95648,2023-07-01 10:45:00,45,10,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95648,95649,2023-07-01 11:00:00,0,11,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95649,95650,2023-07-01 11:15:00,15,11,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95650,95651,2023-07-01 11:30:00,30,11,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95651,95652,2023-07-01 11:45:00,45,11,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95652,95653,2023-07-01 12:00:00,0,12,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95653,95654,2023-07-01 12:15:00,15,12,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95654,95655,2023-07-01 12:30:00,30,12,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95655,95656,2023-07-01 12:45:00,45,12,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95656,95657,2023-07-01 13:00:00,0,13,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95657,95658,2023-07-01 13:15:00,15,13,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
