,id,meter_id,service_point_id,account_number,street,label
0,1,L108605388,2300822246,30010320353,115 FOX ST UNIT 115,Fox Street
1,2,L108558642,2300822209,30010320361,115 FOX ST UNIT 103,Fox Street
2,3,L108557737,2300910019,30010601281,111 FOX ST UNIT 2,Fox Street
3,4,L108124433,2300920052,30010894035,115 FOX ST HSE MTR,Fox Street
4,5,L127317092,2301030232,30010894035,115 FOX ST HSE MTR,Fox Street
5,6,L108123969,2300588819,35012787137,1 INDUSTRIAL WAY U/6,Industrial Way
6,7,L123057647,2300588853,35012787756,1 INDUSTRIAL WAY UNIT 8,Industrial Way
7,8,L108607371,2300588897,35012790198,1 INDUSTRIAL WAY UNIT 10,Industrial Way
