,id,timestamp,increment,hour,date,week,week_in_year,month,month_name,quarter,year,period
99036,99037,2023-08-05 18:00:00,0,18,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99037,99038,2023-08-05 18:15:00,15,18,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99038,99039,2023-08-05 18:30:00,30,18,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99039,99040,2023-08-05 18:45:00,45,18,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99040,99041,2023-08-05 19:00:00,0,19,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99041,99042,2023-08-05 19:15:00,15,19,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99042,99043,2023-08-05 19:30:00,30,19,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99043,99044,2023-08-05 19:45:00,45,19,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99044,99045,2023-08-05 20:00:00,0,20,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99045,99046,2023-08-05 20:15:00,15,20,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99046,99047,2023-08-05 20:30:00,30,20,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99047,99048,2023-08-05 20:45:00,45,20,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99048,99049,2023-08-05 21:00:00,0,21,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99049,99050,2023-08-05 21:15:00,15,21,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99050,99051,2023-08-05 21:30:00,30,21,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99051,99052,2023-08-05 21:45:00,45,21,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99052,99053,2023-08-05 22:00:00,0,22,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99053,99054,2023-08-05 22:15:00,15,22,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99054,99055,2023-08-05 22:30:00,30,22,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99055,99056,2023-08-05 22:45:00,45,22,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99056,99057,2023-08-05 23:00:00,0,23,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99057,99058,2023-08-05 23:15:00,15,23,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99058,99059,2023-08-05 23:30:00,30,23,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99059,99060,2023-08-05 23:45:00,45,23,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99060,99061,2023-08-06 00:00:00,0,0,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99061,99062,2023-08-06 00:15:00,15,0,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99062,99063,2023-08-06 00:30:00,30,0,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99063,99064,2023-08-06 00:45:00,45,0,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99064,99065,2023-08-06 01:00:00,0,1,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99065,99066,2023-08-06 01:15:00,15,1,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99066,99067,2023-08-06 01:30:00,30,1,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99067,99068,2023-08-06 01:45:00,45,1,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99068,99069,2023-08-06 02:00:00,0,2,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99069,99070,2023-08-06 02:15:00,15,2,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99070,99071,2023-08-06 02:30:00,30,2,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99071,99072,2023-08-06 02:45:00,45,2,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
